video_id,datetime,title
ZFntEFXKDHM,2022-10-15T19:35:14Z,"Kate Darling: Social Robots, Ethics, Privacy and the Future of MIT | Lex Fridman Podcast #329"
iZRbD7q1n-U,2022-10-10T17:56:08Z,"John Danaher: Grappling, Jiu Jitsu, ADCC, and Animal Combat | Lex Fridman Podcast #328"
iSMpTmibeDw,2022-10-07T16:36:10Z,"GothamChess: Hans Niemann, Magnus Carlsen, Cheating Scandal &amp; Chess Bots | Lex Fridman Podcast #327"
q6zEzZCtkXw,2022-10-05T17:25:26Z,"Annaka Harris: Free Will, Consciousness, and the Nature of Reality | Lex Fridman Podcast #326"
p3lsYlod5OU,2022-10-01T16:57:13Z,"Michael Levin: Biology, Life, Aliens, Evolution, Embryogenesis &amp; Xenobots | Lex Fridman Podcast #325"
NffaKHVk-yE,2022-09-23T17:13:33Z,Joe Rogan and Lex Fridman at UFC 279
36_rM7wpN5A,2022-09-21T16:36:27Z,"Rana el Kaliouby: Emotion AI, Social Robots, and Self-Driving Cars | Lex Fridman Podcast #322"
SK4kMPmgKW0,2022-09-14T18:15:51Z,"Christopher Capozzola: World War I, Ideology, Propaganda, and Politics | Lex Fridman Podcast #320"
srUlKNLZTas,2022-09-09T14:11:58Z,"Botez Sisters: Chess, Streaming, and Fame | Lex Fridman Podcast #319"
tOtdJcco3YM,2022-09-07T15:30:33Z,"Nick Lane: Origin of Life, Evolution, Aliens, Biology, and Consciousness | Lex Fridman Podcast #318"
yImlXr5Tr8g,2022-09-04T19:04:28Z,"John Vervaeke: Meaning Crisis, Atheism, Religion &amp; the Search for Wisdom | Lex Fridman Podcast #317"
7uHGlfeCBbE,2022-08-31T20:39:41Z,"Noam Chomsky: Putin, Ukraine, China, and Nuclear War | Lex Fridman Podcast #316"
0ZO28NtkwwQ,2022-08-27T17:49:12Z,Magnus Carlsen: Greatest Chess Player of All Time | Lex Fridman Podcast #315
eF-E40pxxbI,2022-08-24T16:31:32Z,"Liv Boeree: Poker, Game Theory, AI, Simulation, Aliens &amp; Existential Risk | Lex Fridman Podcast #314"
sY8aFSY2zv4,2022-08-19T15:56:20Z,"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313"
jdIyNMkusLE,2022-08-16T15:25:37Z,"Duncan Trussell: Comedy, Sentient Robots, Suffering, Love &amp; Burning Man | Lex Fridman Podcast #312"
Q6tDV3BhrcM,2022-08-13T15:31:11Z,"Magatte Wade: Africa, Capitalism, Communism, and the Future of Humanity | Lex Fridman Podcast #311"
T3FC7qIAGZk,2022-08-08T17:17:33Z,Andrew Bustamante: CIA Spy | Lex Fridman Podcast #310
I845O57ZSy4,2022-08-04T17:02:16Z,"John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets | Lex Fridman Podcast #309"
qLDp-aYnR1Y,2022-08-01T16:06:40Z,"Ryan Graves: UFOs, Fighter Jets, and Aliens | Lex Fridman Podcast #308"
VBPTFlpv31k,2022-07-29T16:28:26Z,"Brian Armstrong: Coinbase, Cryptocurrency, and Government Regulation | Lex Fridman Podcast #307"
aGBLRlLe7X8,2022-07-26T16:18:00Z,Oriol Vinyals: Deep Learning and Artificial General Intelligence | Lex Fridman Podcast #306
50r-5ULcWgY,2022-07-23T16:02:19Z,"Martin Rees: Black Holes, Alien Life, Dark Matter, and the Big Bang | Lex Fridman Podcast #305"
WgytXF0SPh0,2022-07-20T15:53:13Z,Bishop Robert Barron: Christianity and the Catholic Church | Lex Fridman Podcast #304
1XGiTDWfdpM,2022-07-17T13:58:34Z,"Steve Keen: Marxism, Capitalism, and Economics | Lex Fridman Podcast #303"
hppbxV9C63g,2022-07-14T16:05:12Z,"Richard Haier: IQ Tests, Human Intelligence, and Group Differences | Lex Fridman Podcast #302"
UbkB-vhjhHA,2022-07-12T21:22:50Z,Lex Fridman plays chess with Demis Hassabis
dSVLjAdo8UA,2022-07-09T16:02:12Z,Jack Barsky: KGB Spy | Lex Fridman Podcast #301
gk4tEO4jDUM,2022-07-04T13:16:16Z,"Joe Rogan: Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom | Lex Fridman Podcast #300"
Gfr50f6ZBvo,2022-07-01T10:15:45Z,"Demis Hassabis: DeepMind - AI, Superintelligence &amp; the Future of Humanity | Lex Fridman Podcast #299"
w8267OmP22E,2022-06-26T15:43:42Z,DeepMind cube
XOPO9J7DIXw,2022-06-25T18:13:22Z,Jonathan Reisman: The Human Body - From Sex &amp; Sperm to Hands &amp; Heart | Lex Fridman Podcast #297
EG7I6Bt_NZY,2022-06-21T12:40:02Z,"Douglas Murray: Racism, Marxism, and the War on the West | Lex Fridman Podcast #296"
o0Bi-q89j5Y,2022-06-17T16:26:15Z,Richard Wolff: Marxism and Communism | Lex Fridman Podcast #295
4oDZyOf6CW4,2022-06-15T18:55:14Z,"Tony Fadell: iPhone, iPod, Nest, Steve Jobs, Design, and Engineering | Lex Fridman Podcast #294"
reYdQYZ9Rj4,2022-06-12T18:55:47Z,Donald Hoffman: Reality is an Illusion - How Evolution Hid the Truth | Lex Fridman Podcast #293
KBZP4rLk6bk,2022-06-09T12:41:32Z,"Robin Hanson: Alien Civilizations, UFOs, and the Future of Humanity | Lex Fridman Podcast #292"
f0un-l1L8Zw,2022-06-04T17:23:21Z,Jonathan Haidt: The Case Against Social Media | Lex Fridman Podcast #291
jvGZkf87aCs,2022-05-30T17:17:22Z,Dan Reynolds: Imagine Dragons | Lex Fridman Podcast #290
2a7CDKqWcZ0,2022-05-25T14:35:07Z,"Stephen Kotkin: Putin, Stalin, Hitler, Zelenskyy, and War in Ukraine | Lex Fridman Podcast #289"
tOTenjh_8hw,2022-05-20T17:14:31Z,"Bobby Lee: Comedy, Skyrim, Sex Robots, Love, Fame, and Power | Lex Fridman Podcast #287"
ygAqYC8JOQI,2022-05-17T17:48:13Z,Oliver Stone: Vladimir Putin and War in Ukraine | Lex Fridman Podcast #286
gp4U5aH_T6A,2022-05-11T17:11:37Z,"Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics | Lex Fridman Podcast #284"
1C2tPFCGL1U,2022-05-08T20:54:39Z,"Chris Mason: Space Travel, Colonization, and Long-Term Survival in Space | Lex Fridman Podcast #283"
sndW9hzX-wA,2022-05-04T15:23:03Z,"David Buss: Sex, Dating, Relationships, and Sex Differences | Lex Fridman Podcast #282"
KOwm7GUjcg8,2022-04-29T18:21:58Z,"Grimes: Music, AI, and the Future of Humanity | Lex Fridman Podcast #281"
KMgPxVnKLSk,2022-04-27T18:03:02Z,Cristiano Amon: Qualcomm CEO | Lex Fridman Podcast #280
SFxIazwNP_0,2022-04-24T17:47:40Z,Alien Debate: Sara Walker and Lee Cronin | Lex Fridman Podcast #279
dHTgffkpeYo,2022-04-20T22:25:18Z,"Skye Fitzgerald: Hunger, War, and Human Suffering | Lex Fridman Podcast #278"
lvh3g7eszVQ,2022-04-17T17:58:11Z,"Andrew Huberman: Focus, Stress, Relationships, and Friendship | Lex Fridman Podcast #277"
mC43pZkpTec,2022-04-14T19:06:47Z,"Michael Saylor: Bitcoin, Inflation, and the Future of Money | Lex Fridman Podcast #276"
H_szemxPcTI,2022-04-10T16:49:08Z,Rick Rubin: Legendary Music Producer | Lex Fridman Podcast #275
OaeYUm06in0,2022-04-07T16:51:38Z,"Karl Deisseroth: Depression, Schizophrenia, and Psychiatry | Lex Fridman Podcast #274"
DbXjoXnIxQo,2022-04-03T16:55:19Z,Chris Blattman: War and Violence | Lex Fridman Podcast #273
FxHvCbGfHvU,2022-03-31T15:17:03Z,RZA and Lex Fridman play chess
